acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,Max Search Time Delta
0.6779999999999999,['ilyTOMMY'],0.613,108696,0.339,0,7uHRKSQ9WIlBBuBY7BHcbq,0.0,5,0.166,-14.908,0,Forever,77,2019-03-08,0.135,106.582,0.292,2019,294537600.0
0.101,"['Aaron Smith', 'Krono', 'Luvli']",0.72,198053,0.741,0,6WkJ2OK163XXS2oARUC9JM,1.41e-05,10,0.289,-6.529,0,Dancin (feat. Luvli) - Krono Remix,80,2014-11-07,0.0287,119.896,0.35700000000000004,2014,
0.114,"['Jack Harlow', 'Big Sean']",0.945,168906,0.5820000000000001,1,6rLi6PyWXu1rPlShuIZpj6,0.0,11,0.103,-8.357000000000001,0,Way Out (feat. Big Sean),81,2020-12-09,0.0719,108.025,0.907,2020,
0.262,['Lana Del Rey'],0.324,236053,0.416,0,2nMeu6UenVvwUktBCpLMK9,3.69e-05,11,0.11,-8.92,0,Young And Beautiful,78,2013-01-01,0.0368,113.986,0.151,2013,249868800.0
0.145,"['Khalid', 'Disclosure']",0.79,181436,0.6940000000000001,0,0TrPqhAMoaKUFLR7iYDokf,0.00252,9,0.281,-7.726,0,Know Your Worth,80,2020-02-04,0.0708,103.007,0.508,2020,36720000.0
0.0478,['Daddy Yankee'],0.6579999999999999,210520,0.901,0,6RyaV7owmVU6fzEPE17sF1,0.0,7,0.12,-2.814,1,Que Tire Pa Lante,76,2019-10-18,0.0357,93.979,0.708,2019,44668800.0
0.0395,['21 Savage'],0.8370000000000001,288624,0.636,1,2t8yVaLvJ0RenpXUIAC52d,0.00125,1,0.342,-7.643,1,a lot,78,2018-12-21,0.086,145.972,0.274,2018,5097600.0
0.00864,"['Rihanna', 'JAY-Z']",0.583,275987,0.8290000000000001,0,49FYlytm3dAAraYgpoJZux,0.0,1,0.0426,-4.603,1,Umbrella,82,2008-06-02,0.134,174.028,0.575,2008,20995200.0
0.131,['Coldplay'],0.312,242496,0.418,0,4fzyvSu73BhGvi96p2zwjL,0.000679,7,0.0836,-9.146,1,Christmas Lights,78,2010-12-01,0.0296,130.795,0.237,2010,10454400.0
0.0237,['Harry Styles'],0.6759999999999999,207133,0.7709999999999999,0,3jjujdWJ72nww5eGnfs2E7,7.000000000000003e-06,8,0.102,-3.675,1,Adore You,87,2019-12-13,0.0483,99.048,0.569,2019,231379200.0
